species,life_history,Winter,Spring,Summer,Autumn,decimalLatitude,decimalLongitude,src
Heliophila africana,A,0.356411970382559,0.446604376016141,0.40166940902235,0.409159467982997,-32.875,17.875,GBIF
Heliophila africana,A,0.307255244755245,0.392431098313451,0.256341697518168,0.262169203345674,-32.625,19.125,GBIF
Heliophila africana,A,0.537218908542438,0.401445613210319,0.363057897984369,0.47333059097765,-33.625,19.625,GBIF
Heliophila africana,A,0.255608974358974,0.320992732757439,0.28871863430687,0.336898395721925,-34.125,22.125,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.377913752913753,0.535650623885918,0.646480357877417,0.526943644590704,-33.375,19.375,GBIF
Heliophila africana,A,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,-33.625,18.375,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.560486082544906,0.462292609351433,0.392319690113808,0.420540244069656,-31.375,18.625,GBIF
Heliophila africana,A,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,-33.125,18.125,GBIF
Heliophila africana,A,0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,-33.375,18.625,GBIF
Heliophila africana,A,0.443546037296037,0.389894419306184,0.416482414644179,0.390922802687509,-33.93333,18.85,GBIF
Heliophila africana,A,0.140952797202797,0.323735088440971,0.420527389277389,0.203139997257644,-33.875,18.875,GBIF
Heliophila africana,A,0.194784382284382,0.18675442204854,0.304949952008776,0.262100644453586,-32.125,18.375,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.314321095571096,0.360002742355684,0.50458059097765,0.444261620732209,-33.625,19.375,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,-33.625,18.875,GBIF
Heliophila africana,A,0.560486082544906,0.462292609351433,0.392319690113808,0.420540244069656,-31.375,18.625,GBIF
Heliophila africana,A,0.204545454545455,0.184286301933361,0.267726758535582,0.279857397504456,-31.625,18.875,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
Heliophila africana,A,0.382648601398601,0.450431921020156,0.467233134512546,0.384204031262855,-32.47,18.99,GBIF
Heliophila africana,A,0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,-32.875,18.625,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.312281468531469,0.430412724530372,0.354809406279995,0.333539010009598,-33.625,18.625,GBIF
Heliophila africana,A,0.295964452214452,0.330316742081448,0.18708864664747,0.295968737145208,-34.375,21.375,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.308994926641986,0.424359953771719,0.492668483477307,0.33305909776498,-28.99861,25.0925,GBIF
Heliophila africana,A,0.330929487179487,0.362265185794598,0.291688091320444,0.330111065405183,-33.875,18.625,GBIF
Heliophila africana,A,0.3632764294529,0.356478815302345,0.341213320992733,0.283148224324695,-32.875,19.625,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.312281468531469,0.430412724530372,0.354809406279995,0.333539010009598,-33.625,18.625,GBIF
Heliophila africana,A,0.330929487179487,0.362265185794598,0.291688091320444,0.330111065405183,-33.875,18.625,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,-33.125,18.125,GBIF
Heliophila africana,A,0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,-32.875,18.625,GBIF
Heliophila africana,A,0.190268065268065,0.214109419991773,0.344465583436172,0.270601947072535,-33.875,19.125,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
Heliophila africana,A,0.25348757245309,0.1176582038651,0.19363152320712,0.220746494884426,-34.375,19.125,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.194784382284382,0.18675442204854,0.304949952008776,0.262100644453586,-32.125,18.375,GBIF
Heliophila africana,A,0.511217948717949,0.526189496777732,0.549156725627314,0.411559029206088,-32.125,19.125,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,-33.625,18.375,GBIF
Heliophila africana,A,0.220026909365145,0.21631309866604,0.235075586178527,0.242424242424242,-33.875,19.875,GBIF
Heliophila africana,A,0.314321095571096,0.360002742355684,0.50458059097765,0.444261620732209,-33.625,19.375,GBIF
Heliophila africana,A,0.308994926641986,0.424359953771719,0.492668483477307,0.33305909776498,-28.99861,25.0925,GBIF
Heliophila africana,A,0.330929487179487,0.362265185794598,0.291688091320444,0.330111065405183,-33.875,18.625,GBIF
